bund_nr,status
140001,-9
140002,-9
140003,-9
140004,-9
140005,-9
140006,-9
140007,-9
140008,-9
140009,-9
140010,-9
140011,-9
140012,-9
140013,-9
140014,-9
140015,-9
140016,-9
140017,-9
140018,-9
140019,-9
140020,-9
140021,-9
140022,-9
140023,-9
140024,-9
140025,-9
140026,-9
140027,-9
140028,-9
140029,-9
140030,-9
140031,-9
140032,-9
140033,-9
140034,-9
140035,-9
140036,-9
140037,-9
140038,-9
140039,-9
140040,-9
140041,-9
140042,-9
140043,-9
140044,-9
140045,-9
140046,-9
140047,-9
140048,-9
140049,-9
140050,-9
140051,-9
140052,-9
140053,-9
140054,-9
140055,-9
140056,-9
140057,-9
140058,-9
140059,-9
140060,-9
140061,-9
140062,-9
140063,-9
140064,-9
140065,-9
140066,-9
140067,-9
140068,-9
140089,-9
140102,-9
140175,-9
140187,-9
140234,-9
140252,-9
140254,-9
140315,-9
140316,-9
140317,-9
